titulo,texto
ID,1
Código,3.12.01
Código SIARS,2013.001.01
Nome abreviado,Proporção de consultas realizadas pelo MF
Designação,Proporção de consultas realizadas pelo respetivo médico de família
Objetivo,Monitorizar o acesso dos utentes ao seu próprio médico de família e a capacidade de intersubstituição dos médicos da unidade de saúde
Descrição do Indicador,"Indicador que exprime a proporção de consultas que cada médico realiza aos utentes da respetiva lista.
Numerador: Contagem de consultas presenciais realizadas pelo próprio médico de família.
Denominador: Contagem de consultas presenciais realizadas por qualquer médico da unidade de saúde."
Regras de cálculo,"NUMERADOR (AA):
Contagem de contactos em que a expressão [A e B] é verdadeira:
A. Todas as condições enunciadas para o denominador.
B. O contacto foi realizado pelo Médico de Família (MF) do utente ou por um dos respetivos internos (ver OBSERVAÇÕES SOBRE SOFTWARE).
DENOMINADOR (BB):
Contagem de contactos em que a expressão [(A ou B) e C e D] é verdadeira:
A. Compatível com o código
C002
[Consulta médica presencial - SClínico].
B. Compatível com o código
C008
[Consulta médica presencial - MedicineOne].
C. Realizado a utente com [
inscrição ativa
] durante pelo menos um dia do período em análise.
D. Realizado a utente com MF atribuído (ver alínea G de OBSERVAÇÕES GERAIS)."
Observações Gerais,"A. Tanto no numerador como no denominador, apenas se contabiliza uma consulta realizada ao mesmo utente, por dia.
B. Para que as consultas dos internos realizadas aos utentes dos respetivos orientadores, sejam consideradas no numerador, é necessário que as aplicações possibilitem o registo temporal da relação entre internos e orientadores e que as equipas procedam ao registo desta informação.
C. Contabilizam-se consultas programadas e não programadas.
D. Contabilizam-se consultas realizadas no horário normal ou no horário alargado da unidade de saúde.
E. Quando a unidade de observação é o médico, a USF ou a UCSP, não se contabilizam para o denominador (nem para o numerador) as consultas que se realizam fora da USF (p.e., no contexto do atendimento complementar, de serviços de apoio permanente, CDP, etc). No entanto, contabilizam-se as consultas de intersubstituição e as consultas de reforço.
F. Quando a unidade de observação é ACES, não se contabilizam no numerador as consultas que os médicos realizem no contexto do atendimento complementar ou de serviços de apoio permanente, mesmo que tenham sido realizadas pelo médico de família do utente. Desta forma, variações nos resultados do indicador ficam mais dependentes do esforço das equipas para que os utentes sejam observados pelo respetivo MF na própria unidade de saúde, sem recurso aos horários das ""urgências"".
G. Ao limitar o denominador (e consequentemente o numerador) aos utentes que têm Médico de Família atribuído, tornam-se os resultados do indicador imunes à proporção de utentes sem MF. Desta forma, variações nos resultados do indicador ficam mais dependentes do esforço das equipas para que os utentes sejam observados pelo respetivo MF."
Observações Sobre Software,"MEDICINEONE:
A. Para que as consultas dos internos realizadas aos utentes dos respetivos orientadores, sejam consideradas no numerador, é necessário que no módulo de configuração a ficha de cada interno tenha o registo do nome do orientador.
SCLÍNICO - PERFIL GESTOR:
A. A associação entre internos e respetivos orientadores é efetuada no perfil de ""Gestor do SClínico"", em ""Gestão de Tabelas"", separador ""Orientadores/internos""."
Período em Análise,"INDICADOR CALCULADO PELO MÉTODO DE ""PERÍODO EM ANÁLISE FLUTUANTE""
- Numerador: Duração de 12 meses, terminando na data de referência do indicador.
- Denominador: Duração de 12 meses, terminando na data de referência do indicador.
INDICADOR CALCULADO PELO MÉTODO DE ""PERÍODO EM ANÁLISE FIXO""
- Numerador: Duração de 1 a 12 meses. Tem início a 1 de janeiro do ano em curso e termina na data de referência do indicador.
- Denominador: Duração de 1 a 12 meses. Tem início a 1 de janeiro do ano em curso e termina na data de referência do indicador."
Fórmula,AA / BB x 100
Unidade de medida,%
Output,Proporção de contactos
Estado do indicador,Com dados desde Dezembro de 2012
Área | Subárea | Dimensão,Desempenho | Acesso | Personalização
Intervalo Aceitável,"Ano de 2022: [78; 90]
Ano de 2023: [78; 90]
Ano de 2024: [78; 90]"
Intervalo Esperado,"Ano de 2022: [75; 92]
Ano de 2023: [75; 92]
Ano de 2024: [70; 92]"
Tipo de Indicador,Processo
Área clínica,Transversal
Inclusão de utentes no indicador,Utentes inscritos em pelo menos um dia do período em análise
Prazo para Registos,5 dias
