titulo,texto
id,214
Código,2.12.36
Código SIARS,MORB.214.01
Nome abreviado,"Proporção utentes c/ ""doença cardíaca isquémica"""
Designação,"Proporção de utentes com o diagnóstico de ""doença cardíaca isquémica"""
Objetivo,"Caraterizar a população inscrita. Parâmetro ""prevalência de doença cardíaca isquémica"""
Descrição do Indicador,"Indicador que exprime a proporção de utentes com ""doença cardíaca isquémica"" identificados na população inscrita.
Numerador: Contagem de utentes inscritos que têm o diagnóstico de ""doença cardíaca isquémica"" registado na lista de problemas.
Denominador: Contagem de utentes inscritos."
Regras de cálculo,"NUMERADOR (AA):
Contagem de utentes em que a expressão [A e B] é verdadeira:
A. Todas as condições enunciadas para o denominador.
B. O diagnóstico de ""doença cardíaca isquémica"" (rubricas ICPC K74 ou K76) encontra-se na lista de problemas, com o estado de ""ativo"", à data de referência do indicador (ver alíneas A, B, C, D e E de OBSERVAÇÕES GERAIS).
DENOMINADOR (BB):
Contagem de utentes em que a expressão [A] é verdadeira:
A. Com [
inscrição ativa
] na data de referência do indicador (ver alínea F de OBSERVAÇÕES GERAIS)."
Observações Gerais,"A. Contabilizam-se as rubricas definidas nas regras de cálculo, bem como eventuais subrubricas existentes.
B. Critérios de K74 (ICPC-2): História e sinais electrocardiográficos ou imagiológicos de antigos enfartes do miocárdio; ou sinais de isquemia do miocárdio no ECG em repouso ou de esforço; ou detecção por investigação de estenose da artéria coronária ou aneurisma ventricular.
C. O K74 inclui (ICPC-2): Angina provocada pelo esforço, angina de peito, angina com espasmos; dor torácica isquémica; angina instável.
D. Critérios de K76 (ICPC-2): História mais ECG, ou manifestações imagiológicas de um enfarte do miocárdio antigo; ou evidência no ECG em repouso ou de esforço de isquemia do miocárdio; ou evidência, por investigação, de estenose da artéria coronária; ou aneurisma ventricular.
E. O K76 inclui (ICPC-2): Aneurisma cardíaco, doença cardíaca arteriosclerótica ou aterosclerótica, doença coronária, cardiomiopatia isquémica, enfarte do miocárdio antigo, isquemia miocárdica silenciosa.
F. Inclui apenas as inscrições SINUS tipo ""1"" e tipo ""2"" (respetivamente ""primeira inscrição"" e ""transferido de uma inscrição primária""). Exclui ""esporádicos"", ""não frequentadores"" e outras formas de inscrição."
Observações Sobre Software,"MEDICINEONE:
A. O diagnóstico pode estar inserido quer na [lista de problemas] quer na [lista de outros problemas].
B. O diagnóstico necessita estar classificado como ""ativo"" e não ter sido classificado como ""inválido"""
Período em Análise,"INDICADOR CALCULADO PELO MÉTODO DE ""PERÍODO EM ANÁLISE FLUTUANTE""
- Numerador (variável ""diagnóstico na lista de problemas""): A duração do período em análise é de 1 dia, que coincide com a data de referência do indicador.
- Denominador (variável ""inscrição ativa""): A duração do período em análise é de 1 dia, que coincide com a data de referência do indicador."
Fórmula,AA / BB x 100
Unidade de medida,%
Output,Prevalência
Estado do indicador,Com dados desde Dezembro de 2009
Área | Subárea | Dimensão,---
Intervalo Aceitável,---
Intervalo Esperado,---
Tipo de Indicador,Estrutura
Área clínica,Transversal
Inclusão de utentes no indicador,Utentes inscritos à data de referência do indicador
Prazo para Registos,5 dias
