titulo,texto
id,294
Código,4.30.03
Código SIARS,2013.294.01
Nome abreviado,Taxa domicílios enferm. p/ 1000 inscritos idosos
Designação,Taxa de consultas de enfermagem no domicílio por 1.000 inscritos idosos
Objetivo,"Permite monitorizar produtividade das equipas de enfermagem, na realização de domicílios de enfermagem em pessoas idosas."
Descrição do Indicador,"Exprime o número de domicílios de enfermagem realizados por ano por cada 1.000 utentes idosos.
Numerador: Contagem de domicílios de enfermagem realizados no período em análise.
Denominador: Contagem de utentes idosos com [
inscrição ativa
] durante pelo menos um dia do período em análise."
Regras de cálculo,"NUMERADOR (AA):
Contagem de contactos em que a expressão [A e B e C] é verdadeira:
A. Contactos realizados aos utentes definidos no denominador, durante o período em análise do numerador.
B. Realizados no domicílio, por qualquer enfermeiro da unidade de saúde (ver alínea D de OBSERVAÇÕES GERAIS).
C. Que estão de acordo com as definições de [Consulta enfermagem com a presença do utente (direta)] com os códigos
C005
,
C011
e
C017
(ver alínea C de OBSERVAÇÕES GERAIS e
[conceito de consulta]
).
DENOMINADOR (BB):
Contagem de utentes em que a expressão [A e B] é verdadeira:
A. Com [
inscrição ativa
] na Unidade de Saúde, durante pelo menos um dia do período em análise.
B. Ter idade igual ou superior a 65 anos (medida na data de referência do indicador quando o cálculo é do tipo ""período em análise flutuante"" e a 31 de dezembro do ano em curso, quando o cálculo é do tipo ""período em análise fixo"")."
Observações Gerais,"A. Apenas se contabiliza um contacto, por utente, por dia;
B. No denominador, contabilizam-se utentes inscritos em pelo menos um dia do período em análise, pois existe um número significativo de consultas domiciliárias que são realizadas a utentes que acabam por falecer antes do último dia do período em análise, o que provocaria uma quebra significativa de domicílios no numerador (quando comparada com os domicílios efetivamente realizados pelos profissionais no período em análise).
C. Os registos de [Consulta enfermagem com a presença do utente (direta)] devem estar de acordo com um dos seguintes códigos de consulta:
-
C005
| Consulta enfermagem com a presença do utente (direta) - SClínico
-
C011
| Consulta enfermagem com a presença do utente (direta) - MedicineOne
D. Quando a unidade de observação é um ACES, contabilizam-se as visitas domiciliárias realizadas por enfermeiros das UCC a utentes a utentes com [
inscrição ativa
] numa das unidades (USF ou UCSP) do ACES. Esses domicílios realizados por enfermeiros da UCC não são contabilizadas nos indicadores em que a unidade de observação é uma USF, uma UCSP ou um médico."
Observações Sobre Software,"SCLÍNICO - PERFIL DE ENFERMAGEM:
A. No SCLÍNICO, considera-se domicílio desde que seja selecionado um dos seguintes itens, em [local da consulta], na janela de [efetivação do contacto]:
- [Domicílio] (válido desde sempre);
- [Lar de idosos] (válido a partir de janeiro 2023);
- [Centro de dia] (válido a partir de janeiro 2023);
- [Locais comunitários] (válido a partir de janeiro 2023);
- [Estabelecimento prisional] (válido a partir de janeiro 2023).
É irrelevante assinalar [ato de enfermagem] ou [consulta de enfermagem].
A consulta não pode ficar [pendente]. Deve ser [terminada].
MEDICINEONE:
A. Um contacto fica como [domicílio] se o respetivo [Tipo de contacto] foi definido como [domicílio].
B. O SIARS não lê informação que tenha sido registada no módulo de domicílios, a não ser que em simultâneo seja gerado um contacto do tipo [domicílio] e um [SOAP].
C. Apenas se contabilizam as consultas que não tenham sido assinalados como [Sem atividade clínica] em [Outras caraterísticas do contacto].
D. Apenas se contabilizam consultas relativamente às quais: a) não tenha sido assinalado que o utente faltou; b) não tenha sido anulada; c) não tenha sido desmarcada."
Período em Análise,"INDICADOR CALCULADO PELO MÉTODO DE ""PERÍODO EM ANÁLISE FLUTUANTE""
- Numerador (variável ""consulta""): Duração de 12 meses, terminando na data de referência do indicador.
- Denominador (variável ""inscrição ativa""): Duração de 12 meses, terminando na data de referência do indicador.
- Denominador (variável ""idade""): Coincidente com a data de referência do indicador.
INDICADOR CALCULADO PELO MÉTODO DE ""PERÍODO EM ANÁLISE FIXO""
- Numerador (variável ""consulta""): Duração de 1 a 12 meses. Tem início a 1 de janeiro do ano em curso e termina na data de referência do indicador.
- Denominador (variável ""inscrição ativa""): Duração de 1 a 12 meses. Tem início a 1 de janeiro do ano em curso e termina na data de referência do indicador.
- Denominador (variável ""idade""): Coincidente com a data de referência do indicador."
Fórmula,AA / BB x 1.000
Unidade de medida,por 1.000
Output,Taxa de consultas domiciliárias (Enf.)
Estado do indicador,Com dados desde Janeiro de 2015
Área | Subárea | Dimensão,Desempenho | Gestão da Saúde | Saúde do Idoso
Intervalo Esperado,"Ano de 2023: [570; 1500]
Ano de 2024: [500; 1500]"
Intervalo Aceitável,"Ano de 2023: [300; 1500]
Ano de 2024: [150; 1500]"
Tipo de Indicador,Processo
Área clínica,Transversal
Inclusão de utentes no indicador,Utentes inscritos em pelo menos um dia do período em análise
Prazo para Registos,5 dias
