titulo,texto
ID,055
Código,5.20
Código SIARS,2013.055.01
Nome abreviado,"Proporção adultos c/ depres., c/ terap. anti-depr."
Designação,"Proporção de utentes com idade igual ou superior a 18 anos e diagnóstico de depressão, a quem foi prescrita terapêutica anti-depressiva"
Objetivo,"Monitorizar o programa de saúde mental. Parâmetro ""Prescrição de terapêutica anti-depressiva em adultos com depressão""."
Descrição do Indicador,"Indicador que exprime a proporção de adultos com idade igual ou superior a 18 anos e diagnóstico de depressão, a quem foi prescrita terapêutica antidepressiva.
Numerador: Contagem de adultos com idade igual ou superior a 18 anos e diagnóstico de depressão e a quem foi prescrita terapêutica antidepressiva.
Denominador: Contagem de adultos com idade igual ou superior a 18 anos e diagnóstico de depressão."
Regras de cálculo,"NUMERADOR (AA):
Contagem de utentes em que a expressão [A e B e C] é verdadeira:
A. Todas as condições enunciadas para o denominador.
B. Na data de referência do indicador, existe pelo menos um medicamento anti-depressivo registado na terapêutica crónica (ver alíneas A, B, C, D e E de OBSERVAÇÕES GERAIS).
C. Existe pelo menos um medicamento anti-depressivo prescrito nos 12 meses que antecedem a data de referência do indicador (ver alíneas A, B, C, D e E de OBSERVAÇÕES GERAIS).
DENOMINADOR (BB):
Contagem de utentes em que a expressão [A e B e C] é verdadeira:
A. Com [
inscrição ativa
] na unidade de saúde na data de referência do indicador.
B. Na data de referência do indicador, o diagnóstico de depressão (rubrica da ICPC-2 P76) encontra-se na lista de problemas, com o estado de ""ativo"" (ver alíneas H e I de OBSERVAÇÕES GERAIS).
C. Ter idade compreendida no intervalo [18; +INF[ anos (ver alínea F de OBSERVAÇÕES GERAIS)."
Observações Gerais,"A. São contabilizados todas as prescrições e registos na terapêutica crónica de medicamentos pertencentes ao grupo 2.9.3 (antidepressores) da classificação farmacoterapêutica de medicamentos (CFT).
B. Contabilizam-se medicamentos anti-depressivos isolados ou em associação.
C. Não se contabilizam no numerador utentes a quem tenham sido prescritas anti-depressivos no ano anterior se não coexistirem anti-depressivos registados na terapêutica crónica.
D. Não se contabilizam no numerador utentes que à data de referência do indicador tenham anti-depressivos registados na terapêutica crónica, se nenhum anti-depressivo tiver sido prescrito no último ano.
E. A prescrição e o registo na terapêutica crónica não necessitam ter a mesma [forma farmacêutica], nem o mesmo [nome do medicamento] nem a mesma [dosagem].
F. A idade deve ser medida em relação à data de referência do indicador quando o cálculo é do tipo ""período em análise flutuante"" e em relação a 31 de dezembro do ano em curso, quando o cálculo é do tipo ""período em análise fixo"".
G. Os medicamentos pertencentes à classe CFT acima referida podem ser consultados em
https://www.infarmed.pt/web/infarmed/servicos-on-line/pesquisa-do-medicamento
.
H. A norma de orientação clínica da DGS nº 34/2012 sobre ""Terapêutica Famacológica da Depressão major e da sua Recorrência no Adulto"", estabelece as indicações e critérios para utilização de fármacos nestas patologias.
I. Por outro lado, a ICPC-2 estabelece as seguintes classes ICD-10 como mapeáveis com a respetiva rubrica P70:
F32.0 - Episódio depressivo leve
F32.1 - Episódio depressivo moderado
F32.2 - Episódio depressivo grave sem sintomas psicóticos
F32.3 - Episódio depressivo grave com sintomas psicóticos
F32.8 - Outros episódios depressivos
F32.9 - Episódio depressivo não especificado
F33.0 - Transtorno depressivo recorrente, episódio atual leve
F33.1 - Transtorno depressivo recorrente, episódio atual moderado
F33.2 - Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos
F33.3 - Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos
F33.4 - Transtorno depressivo recorrente, atualmente em remissão
F33.8 - Outros transtornos depressivos recorrentes
F33.9 - Transtorno depressivo recorrente sem especificação
F34.1 - Distimia
F34.8 - Outros transtornos do humor [afetivos] persistentes
F34.9 - Transtorno do humor [afetivo] persistente não especificado
F38.0 - Outros transtornos do humor [afetivos] isolados
F38.1 - Outros transtornos do humor [afetivos] recorrentes
F38.8 - Outros transtornos especificados do humor [afetivos]
F39 - Transtorno do humor [afetivo] não especificado
F41.2 - Transtorno misto ansioso e depressivo
F53.0 - Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte
Uma vez que nem todos os problemas de saúde acima referidos têm uma indicação clara para terapêutica anti-depressiva de forma mantida, existirão sempre utentes no denominador do indicador que não beneficiariam em estar no numerador.
Por outro lado algumas depressões major limitadas no tempo e não recorrentes, permanecem, por erro de registo, nas listas de problemas dos utentes, até muito tempo depois do tratamento e cura (sem recorrência). Também estes utentes não beneficiariam em estar no numerador."
Observações Sobre Software,"MEDICINEONE:
A. O diagnóstico de depressão pode estar inserido quer na [lista de problemas] quer na [lista de outros problemas]. O diagnóstico necessita estar classificado como ""ativo"" e não ter sido classificado como ""inválido"".
B. Os medicamentos registados na terapêutica crónica têm uma [data de fim], que é tida em consideração pelo SIARS para determinar se o medicamento se encontra ou não ativo na data de referência do indicador.
SCLÍNICO - PERFIL MÉDICO:
A. Os medicamentos registados na terapêutica crónica têm uma [data de fim], que é tida em consideração pelo SIARS para determinar se o medicamento se encontra ou não ativo na data de referência do indicador."
